City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,noyabrsk,63.1994,75.4507,0.39,94,100,3.79,RU,1682097563
1,yellowknife,62.456,-114.3525,2.29,64,75,5.66,CA,1682097563
2,tazovsky,67.4667,78.7,-2.18,96,100,4.77,RU,1682097564
3,gudauta,43.1055,40.6207,11.69,83,46,0.99,GE,1682097564
4,viedma,-40.8135,-62.9967,22.02,33,100,9.3,AR,1682097564
5,itambacuri,-18.0311,-41.685,20.83,86,100,2.05,BR,1682097564
6,dhidhdhoo,6.8833,73.1,29.13,68,32,0.87,MV,1682097564
7,waitangi,-43.9535,-176.5597,16.01,94,100,2.68,NZ,1682097564
8,alice springs,-23.7,133.8833,10.75,87,17,4.12,AU,1682097565
9,utrik,11.2278,169.8474,26.65,74,86,6.99,MH,1682097565
10,invercargill,-46.4,168.35,11.68,82,99,0.89,NZ,1682097565
11,grytviken,-54.2811,-36.5092,1.81,75,18,3.95,GS,1682097565
12,adamstown,-25.066,-130.1015,24.57,76,100,4.97,PN,1682097565
13,iskateley,67.6803,53.1512,-0.62,99,100,1.63,RU,1682097565
14,blackmans bay,-43.0167,147.3167,14.18,81,98,2.62,AU,1682097566
15,sao vicente,-23.9631,-46.3919,26.1,66,11,2.33,BR,1682097283
16,yanda bayo,11.5071,10.7459,37.48,13,85,3.13,NG,1682097566
17,antsiranana,-12.2787,49.2917,26.38,81,96,5.79,MG,1682097566
18,tinajo,29.0788,-13.7081,21.49,68,40,1.54,ES,1682097566
19,ust-nera,64.5667,143.2,-6.86,97,100,1.83,RU,1682097566
20,port-aux-francais,-49.35,70.2167,4.59,65,56,9.17,TF,1682097567
21,fort st. john,56.2499,-120.8529,3.94,48,75,5.66,CA,1682097567
22,vorgashor,67.5833,63.95,-6.01,97,98,2.92,RU,1682097567
23,klyuchi,52.2667,79.1667,-1.61,77,5,2.05,RU,1682097567
24,puerto natales,-51.7236,-72.4875,10.25,43,20,9.26,CL,1682097567
25,pacific grove,36.6177,-121.9166,21.34,60,0,5.81,US,1682097510
26,sulak,43.2734,47.5146,14.94,75,100,5.56,RU,1682097568
27,madinat ash shamal,26.1293,51.2009,26.07,48,0,1.56,QA,1682097568
28,tsiombe,-25.3,45.4833,22.55,82,2,0.99,MG,1682097568
29,aldinga beach,-35.2793,138.4604,15.37,83,0,2.32,AU,1682097568
30,ilha solteira,-20.4328,-51.3425,24.3,47,0,3.02,BR,1682097568
31,kapuskasing,49.4169,-82.4331,1.05,93,100,5.66,CA,1682097338
32,mossel bay,-34.1831,22.146,13.96,60,100,2.8,ZA,1682097569
33,mitsamiouli,-11.3847,43.2844,28.02,77,14,4.61,KM,1682097569
34,nar'yan-mar,67.6713,53.087,-0.52,99,100,1.68,RU,1682097569
35,navoiy,40.0844,65.3792,15.71,25,0,2.06,UZ,1682097569
36,vila velha,-20.3297,-40.2925,25.97,73,0,5.66,BR,1682097569
37,vadso,70.0744,29.7487,-0.51,80,40,2.57,NO,1682097569
38,thompson,55.7435,-97.8558,1.09,37,20,4.63,CA,1682097455
39,stanley,54.868,-1.6985,9.18,83,20,3.6,GB,1682097570
40,bati,11.1833,40.0167,22.16,69,74,0.46,ET,1682097570
41,port elizabeth,-33.918,25.5701,15.73,78,20,3.6,ZA,1682097570
42,kecel,46.5253,19.2519,13.64,65,91,2.89,HU,1682097570
43,tiksi,71.6872,128.8694,-14.99,100,100,2.16,RU,1682097570
44,kandyagash,49.4744,57.4233,12.3,34,100,7.28,KZ,1682097571
45,anadyr,64.75,177.4833,-12.72,92,75,1.0,RU,1682097571
46,aasiaat,68.7098,-52.8699,-2.14,68,99,2.24,GL,1682097571
47,puerto ayora,-0.7393,-90.3518,28.98,98,98,3.58,EC,1682097571
48,peace river,56.2501,-117.286,6.17,38,40,2.57,CA,1682097571
49,carnarvon,-24.8667,113.6333,22.91,59,17,5.89,AU,1682097571
50,polyarnyy,69.1989,33.4478,-0.57,80,100,1.44,RU,1682097572
51,jamestown,42.097,-79.2353,25.8,31,0,8.23,US,1682097395
52,antonio enes,-16.2325,39.9086,25.59,80,14,3.19,MZ,1682097572
53,ushuaia,-54.8,-68.3,6.79,75,40,16.98,AR,1682097497
54,roi et,15.75,103.75,36.19,36,62,5.61,TH,1682097572
55,kayangel,8.0823,134.7173,28.08,79,98,5.79,PW,1682097572
56,longyearbyen,78.2186,15.6401,-13.09,52,20,8.23,SJ,1682097573
57,cabedelo,-6.9811,-34.8339,30.37,62,99,4.54,BR,1682097573
58,correntina,-13.3433,-44.6367,30.05,53,25,3.34,BR,1682097573
59,bayamo,20.3792,-76.6433,30.12,54,3,1.09,CU,1682097573
60,forster,-32.1667,152.5167,15.64,94,67,4.48,AU,1682097573
61,gadani,25.1185,66.7299,27.12,73,0,5.75,PK,1682097573
62,margaret river,-33.95,115.0667,13.9,91,54,3.4,AU,1682097574
63,college,64.8569,-147.8028,1.61,70,75,1.54,US,1682097574
64,obninsk,55.0969,36.6103,7.82,34,56,3.13,RU,1682097574
65,edinburgh of the seven seas,-37.0676,-12.3116,18.02,96,100,6.95,SH,1682097574
66,kolonia,50.9333,6.95,18.87,51,0,4.12,DE,1682097574
67,zaltan,32.947,11.8665,18.34,82,10,9.28,LY,1682097574
68,olonkinbyen,70.9221,-8.7187,-3.39,59,91,6.39,SJ,1682097575
69,keban,38.7978,38.7336,14.39,57,42,1.21,TR,1682097575
70,hermanus,-34.4187,19.2345,12.11,57,100,2.17,ZA,1682097575
71,udachny,66.4167,112.4,-16.27,99,97,1.7,RU,1682097575
72,port mathurin,-19.6833,63.4167,26.37,77,17,8.2,MU,1682097575
73,bilibino,68.0546,166.4372,-12.48,83,39,1.69,RU,1682097575
74,brisas de zicatela,15.8369,-97.0419,30.29,70,0,5.14,MX,1682097576
75,santana,-0.0583,-51.1817,30.1,74,75,7.2,BR,1682097576
76,west island,-12.1568,96.8225,26.99,78,40,6.69,CC,1682097576
77,larkird,35.4894,66.6641,12.47,45,1,0.17,AF,1682097576
78,castillos,-34.1667,-53.8333,22.25,44,92,4.56,UY,1682097576
79,lebu,-37.6167,-73.65,14.34,89,100,3.66,CL,1682097577
80,hotan,37.0997,79.9269,11.74,47,100,2.06,CN,1682097577
81,medina,24.4686,39.6142,31.24,13,20,10.29,SA,1682097577
82,altay,47.8667,88.1167,-0.41,47,2,3.94,CN,1682097577
83,wailua homesteads,22.0669,-159.378,22.44,94,40,4.12,US,1682097577
84,sitka,57.0531,-135.33,11.94,47,75,5.66,US,1682097444
85,remire-montjoly,4.9167,-52.2667,27.02,89,100,7.2,GF,1682097578
86,magadan,59.5667,150.8,-1.58,83,72,8.84,RU,1682097578
87,st. john's,47.5649,-52.7093,4.32,91,100,11.18,CA,1682097414
88,harper,4.375,-7.7169,28.93,75,93,5.97,LR,1682097578
89,proletariy,58.4342,31.7046,8.52,77,81,2.49,RU,1682097578
90,hawaiian paradise park,19.5933,-154.9731,22.8,96,40,1.54,US,1682097578
91,northam,51.0333,-4.2167,8.55,93,88,3.12,GB,1682097579
92,port alfred,-33.5906,26.891,16.77,84,41,1.34,ZA,1682097579
93,daru,-9.0763,143.2092,27.16,79,78,5.94,PG,1682097579
94,bell ville,-32.6259,-62.6887,23.22,35,75,5.76,AR,1682097579
95,howrah,22.5892,88.3103,32.0,40,40,1.54,IN,1682097579
96,baharly,38.4362,57.4316,24.38,14,73,3.95,TM,1682097579
97,shiqian,27.5225,108.2281,18.22,96,99,1.88,CN,1682097580
98,ribeira grande,38.5167,-28.7,17.22,82,75,11.83,PT,1682097580
99,talnakh,69.4865,88.3972,-6.55,89,99,3.55,RU,1682097580
100,samarinda,-0.5,117.15,23.7,97,60,0.59,ID,1682097581
101,puerto baquerizo moreno,-0.9,-89.6,29.55,79,40,4.12,EC,1682097581
102,aykhal,66.0,111.5,-14.17,100,99,1.63,RU,1682097581
103,severo-yeniseyskiy,60.3725,93.0408,-12.45,99,65,1.52,RU,1682097581
104,codrington,-38.2667,141.9667,15.35,78,100,2.29,AU,1682097581
105,howard springs,-12.497,131.047,24.95,89,16,3.34,AU,1682097581
106,eshowe,-28.8865,31.4699,16.21,77,99,3.01,ZA,1682097581
107,ilulissat,69.2167,-51.1,-0.99,74,75,2.06,GL,1682097582
108,churapcha,62.0025,132.4325,-3.9,98,100,1.44,RU,1682097582
109,bosaso,11.2842,49.1816,27.7,73,94,1.38,SO,1682097582
110,porto murtinho,-21.6989,-57.8825,27.33,42,1,2.18,BR,1682097582
111,mayahi,13.9553,7.6712,38.36,9,62,2.41,NE,1682097582
112,elizabeth city,36.2946,-76.2511,30.03,36,0,7.72,US,1682097583
